SYMBOL,SECTOR
BABAFP,Consumer Defensive
BAFNAPH,Healthcare
BAGFILMS,Communication Services
BAHETI,Industrials
BAIDFIN,Financial Services
BAJAJ-AUTO,Consumer Cyclical
BAJAJCON,Consumer Defensive
BAJAJELEC,Consumer Cyclical
BAJAJFINSV,Financial Services
BAJAJHCARE,Healthcare
BAJAJHIND,Consumer Defensive
BAJAJHLDNG,Financial Services
BAJEL,Utilities
BAJFINANCE,Financial Services
BALAJITELE,Communication Services
BALAMINES,Basic Materials
BALAXI,Healthcare
BALKRISHNA,Consumer Cyclical
BALKRISIND,Consumer Cyclical
BALMLAWRIE,Industrials
BALPHARMA,Healthcare
BALRAMCHIN,Consumer Defensive
BANARBEADS,Consumer Cyclical
BANARISUG,Consumer Defensive
BANCOINDIA,Consumer Cyclical
BANDHANBNK,Financial Services
BANG,Consumer Cyclical
BANKA,Industrials
BANKBARODA,Financial Services
BANKBEES,Financial Services
BANKETF,Financial Services
BANKIETF,Financial Services
BANKINDIA,Financial Services
BANSWRAS,Consumer Cyclical
BARBEQUE,Consumer Cyclical
BASF,Basic Materials
BASILIC,Consumer Cyclical
BASML,Consumer Cyclical
BATAINDIA,Consumer Cyclical
BAYERCROP,Basic Materials
BBETF0432,Financial Services
BBL,Industrials
BBNPPGOLD,Financial Services
BBOX,Financial Services
BBTC,Consumer Defensive
BBTCL,Consumer Cyclical
BCG,Communication Services
BCLIND,Consumer Defensive
BCONCEPTS,Consumer Cyclical
BDL,Industrials
BEARDSELL,Industrials
BECTORFOOD,Consumer Defensive
BEDMUTHA,Basic Materials
BEL,Industrials
BEML,Industrials
BEPL,Basic Materials
BERGEPAINT,Basic Materials
BETA,Healthcare
BEWLTD,Industrials
BFINVEST,Financial Services
BFSI,Financial Services
BFUTILITIE,Utilities
BGRENERGY,Industrials
BHAGCHEM,Basic Materials
BHAGERIA,Basic Materials
BHAGYANGR,Basic Materials
BHANDARI,Consumer Cyclical
BHARATFORG,Consumer Cyclical
BHARATGEAR,Consumer Cyclical
BHARATRAS,Basic Materials
BHARATWIRE,Basic Materials
BHARTIARTL,Communication Services
BHEL,Industrials
BIGBLOC,Industrials
BIKAJI,Consumer Defensive
BIL,Consumer Cyclical
BINANIIND,Basic Materials
BIOCON,Healthcare
BIOFILCHEM,Healthcare
BIRET,Consumer Cyclical
BIRLACABLE,Technology
BIRLACORPN,Basic Materials
BIRLAMONEY,Financial Services
BKMINDST,Consumer Cyclical
BLAL,Industrials
BLBLIMITED,Financial Services
BLISSGVS,Healthcare
BLKASHYAP,Industrials
BLS,Industrials
BLUECHIP,Financial Services
BLUEDART,Industrials
BLUEJET,Healthcare
BLUESTARCO,Industrials
BMETRICS,Services
BODALCHEM,Basic Materials
BOHRAIND,Basic Materials
BOMDYEING,Consumer Cyclical
BOROLTD,Consumer Cyclical
BORORENEW,Consumer Cyclical
BOSCHLTD,Consumer Cyclical
BPCL,Energy
BPL,Technology
BRIGADE,Real Estate
BRIGHT,Industrials
BRNL,Industrials
BROOKS,Healthcare
BSE,Financial Services
BSE500IETF,Financial Services
BSHSL,Basic Materials
BSL,Consumer Cyclical
BSLGOLDETF,Basic Materials
BSLNIFTY,Financial Services
BSLSENETFG,Financial Services
BSOFT,Technology
BTML,Communication Services
BURNPUR,Basic Materials
BUTTERFLY,Consumer Cyclical
BVCL,Basic Materials
BYKE,Consumer Cyclical
CADSYS,Services
CALSOFT,Technology
CAMLINFINE,Basic Materials
CAMPUS,Consumer Cyclical
CAMS,Technology
CANARYS,Technology
CANBK,Financial Services
CANFINHOME,Financial Services
CANTABIL,Consumer Cyclical
CAPACITE,Industrials
CAPLIPOINT,Healthcare
CAPTRUST,Financial Services
CARBORUNIV,Industrials
CAREERP,Industrials
CARERATING,Financial Services
CARTRADE,Consumer Cyclical
CARYSIL,Consumer Cyclical
CASTROLIND,Energy
CBAZAAR,Consumer Cyclical
CCHHL,Consumer Cyclical
CCL,Consumer Defensive
CDSL,Financial Services
CEATLTD,Consumer Cyclical
CELEBRITY,Consumer Cyclical
CELLECOR,Consumer Cyclical
CELLO,Consumer Cyclical
CELLPOINT,Consumer Cyclical
CENTENKA,Consumer Cyclical
CENTEXT,Basic Materials
CENTRALBK,Financial Services
CENTRUM,Financial Services
CENTUM,Technology
CENTURYPLY,Basic Materials
CENTURYTEX,Basic Materials
CERA,Industrials
CEREBRAINT,Technology
CESC,Utilities
CGCL,Financial Services
CGPOWER,Industrials
CHALET,Consumer Cyclical
CHAMBLFERT,Basic Materials
CHAVDA,Industrials
CHEMBOND,Basic Materials
CHEMCON,Basic Materials
CHEMFAB,Basic Materials
CHEMPLASTS,Basic Materials
CHENNPETRO,Energy
CHEVIOT,Consumer Cyclical
CHOICEIN,Financial Services
CHOLAHLDNG,Financial Services
CIEINDIA,Consumer Cyclical
CIGNITITEC,Technology
CINELINE,Real Estate
CINEVISTA,Communication Services
CIPLA,Healthcare
CLEAN,Basic Materials
CLEDUCATE,Consumer Defensive
CLOUD,Communication Services
CLSEL,Consumer Defensive
CLSL,Basic Materials
CMNL,Basic Materials
CMRSL,Consumer Cyclical
CMSINFO,Industrials
COALINDIA,Energy
COASTCORP,Consumer Defensive
COCHINSHIP,Industrials
COFFEEDAY,Consumer Cyclical
COFORGE,Technology
COLPAL,Consumer Defensive
COMMITTED,Services
COMMOIETF,Financial Services
COMPINFO,Technology
COMPUSOFT,Consumer Defensive
CONCOR,Industrials
CONCORDBIO,Healthcare
CONFIPET,Energy
CONSOFINVT,Financial Services
CONSUMBEES,Financial Services
CONSUMIETF,Financial Services
CONTROLPR,Industrials
CORALFINAC,Real Estate
CORDSCABLE,Industrials
COROMANDEL,Basic Materials
COSMOFIRST,Consumer Cyclical
COUNCODOS,Real Estate
CPS,Consumer Cyclical
CPSEETF,Financial Services
CRAFTSMAN,Consumer Cyclical
CRAYONS,Consumer Cyclical
CREATIVE,Technology
CREATIVEYE,Communication Services
CREST,Financial Services
CRISIL,Financial Services
CROMPTON,Consumer Cyclical
CROWN,Industrials
CSBBANK,Financial Services
CSLFINANCE,Financial Services
CTE,Technology
CUB,Financial Services
CUBEXTUB,Basic Materials
CUMMINSIND,Industrials
CUPID,Consumer Defensive
CYBERMEDIA,Communication Services
CYBERTECH,Technology
CYIENT,Industrials
CYIENTDLM,Technology
DABUR,Consumer Defensive
DALBHARAT,Basic Materials
DALMIASUG,Consumer Defensive
DAMODARIND,Consumer Cyclical
DANGEE,Consumer Cyclical
DATAMATICS,Technology
DATAPATTNS,Industrials
DBCORP,Communication Services
DBL,Industrials
DBOL,Consumer Defensive
DBREALTY,Real Estate
DBSTOCKBRO,Financial Services
DCAL,Healthcare
DCBBANK,Financial Services
DCI,Technology
DCM,Industrials
DCMFINSERV,Financial Services
DCMNVL,Consumer Cyclical
DCMSHRIRAM,Basic Materials
DCMSRIND,Consumer Defensive
DCW,Basic Materials
DCXINDIA,Industrials
DECCANCE,Basic Materials
DEEPAKFERT,Basic Materials
DEEPAKNTR,Basic Materials
DEEPENR,Energy
DEEPINDS,Energy
DELHIVERY,Industrials
DELPHIFX,Financial Services
DELTACORP,Consumer Cyclical
DELTAMAGNT,Industrials
DEN,Communication Services
DENEERS,Industrials
DENORA,Industrials
DENTALKART,Healthcare
DEVIT,Technology
DEVYANI,Consumer Cyclical
DGCONTENT,Communication Services
DHAMPURSUG,Consumer Defensive
DHANBANK,Financial Services
DHANI,Financial Services
DHANUKA,Basic Materials
DHARMAJ,Basic Materials
DHRUV,Industrials
DHUNINV,Financial Services
DIACABS,Industrials
DIAMINESQ,Basic Materials
DIAMONDYD,Consumer Defensive
DICIND,Basic Materials
DIGIDRIVE,Consumer Cyclical
DIGIKORE,Consumer Cyclical
DIGISPICE,Technology
DIGJAMLMTD,Consumer Cyclical
DIL,Industrials
DISHTV,Communication Services
DIVGIITTS,Consumer Cyclical
DIVISLAB,Healthcare
DIVOPPBEES,Financial Services
DIXON,Technology
DJML,Industrials
DKEGL,Industrials
DLF,Real Estate
DLINKINDIA,Technology
DMART,Consumer Defensive
DMCC,Basic Materials
DNAMEDIA,Communication Services
DODLA,Consumer Defensive
DOLATALGO,Financial Services
DOLLAR,Consumer Cyclical
DOLLEX,Consumer Defensive
DOLPHIN,Energy
DOMS,Industrials
DONEAR,Consumer Cyclical
DPABHUSHAN,Consumer Cyclical
DPSCLTD,Utilities
DPWIRES,Industrials
DRCSYSTEMS,Technology
DREAMFOLKS,Industrials
DREDGECORP,Industrials
DRL,Consumer Cyclical
DRONE,Consumer Cyclical
DRREDDY,Healthcare
DSPBANKETF,Financial Services
DSPGOLDETF,Basic Materials
DSPITETF,Technology
DSPN50ETF,Financial Services
DSPNEWETF,Financial Services
DSPPSBKETF,Financial Services
DSPPVBKETF,Financial Services
DSPQ50ETF,Financial Services
DSPSENXETF,Financial Services
DSPSILVETF,Basic Materials
DSSL,Technology
DTIL,Consumer Defensive
DUCOL,Basic Materials
DUCON,Industrials
DUGLOBAL,Consumer Cyclical
DVL,Financial Services
DWARKESH,Consumer Defensive
DYCL,Industrials
DYNAMATECH,Consumer Cyclical
DYNAMIC,Services
DYNPRO,Basic Materials
E2E,Technology
EASEMYTRIP,Consumer Cyclical
EBBETF0425,Financial Services
EBBETF0430,Financial Services
EBBETF0431,Financial Services
